#{"t_start": 1761668003.085287, "env_id": "CrafterReward-v1"}
r,l,t
1.1,72,147.879667
1.1,171,148.329227
2.1,205,148.863839
2.1,155,149.253027
0.1,133,149.59725
-0.9,48,149.781358
2.1,158,150.179487
-0.9,93,150.458237
1.1,211,151.010912
0.1,163,151.426845
